Datetime, D6063059, 1stStgSens, Tube, Null, 2ndStgHeat, 1stStgHeat, AIO 1, AIO 2, AIO 3, AIO 4, DIO, Relays, V1, V2, V3
10:38:21.951 AM 2/13/2018 , 298.9749, 299.6896, 298.8479, NaN, 0.950724, 32.94509, 0.416515, 0.412610, 0.410070, 0.937743, 0, 0, 299.6551, 300.0286, NaN 
10:38:22.943 AM 2/13/2018 , 298.7744, 299.5187, 298.9389, NaN, 0.950728, 32.94901, 0.416471, 0.412558, 0.410020, 0.937640, 0, 0, 299.5176, 299.9762, NaN 
10:38:23.944 AM 2/13/2018 , 298.5671, 299.3131, 299.0433, NaN, 0.950996, 32.95468, 0.416505, 0.412581, 0.410031, 0.937665, 0, 0, 299.3598, 299.9007, NaN 
10:38:24.946 AM 2/13/2018 , 298.3589, 299.0728, 299.1622, NaN, 0.950990, 32.95852, 0.416473, 0.412554, 0.410006, 0.937603, 0, 0, 299.1856, 299.7979, NaN 
10:38:25.957 AM 2/13/2018 , 298.1511, 298.8023, 299.2907, NaN, 0.950995, 32.96045, 0.416454, 0.412552, 0.409998, 0.937630, 0, 0, 298.9989, 299.6646, NaN 
10:38:26.958 AM 2/13/2018 , 297.9425, 298.5041, 299.4302, NaN, 0.950817, 32.96530, 0.416417, 0.412523, 0.409978, 0.937571, 0, 0, 298.8033, 299.4989, NaN 
10:38:27.960 AM 2/13/2018 , 297.7353, 298.1824, 299.5783, NaN, 0.950600, 32.96720, 0.416488, 0.412572, 0.410023, 0.937696, 0, 0, 298.6020, 299.3004, NaN 
10:38:28.951 AM 2/13/2018 , 297.5280, 297.8410, 299.7388, NaN, 0.950825, 32.96908, 0.416505, 0.412580, 0.410034, 0.937779, 0, 0, 298.3973, 299.0700, NaN 
10:38:29.953 AM 2/13/2018 , 297.3247, 297.4840, 299.9052, NaN, 0.950993, 32.97112, 0.416461, 0.412545, 0.409992, 0.937744, 0, 0, 298.1909, 298.8096, NaN 
10:38:30.974 AM 2/13/2018 , 297.1211, 297.1142, 300.0822, NaN, 0.950992, 32.97299, 0.416474, 0.412572, 0.410021, 0.937797, 0, 0, 297.9839, 298.5222, NaN 
10:38:31.976 AM 2/13/2018 , 296.9200, 296.7360, 300.2676, NaN, 0.950901, 32.97194, 0.416523, 0.412614, 0.410061, 0.937755, 0, 0, 297.7773, 298.2110, NaN 
10:38:32.967 AM 2/13/2018 , 296.7175, 296.3507, 300.4607, NaN, 0.951077, 32.97293, 0.416534, 0.412613, 0.410073, 0.937798, 0, 0, 297.5715, 297.8795, NaN 
10:38:33.969 AM 2/13/2018 , 296.5174, 295.9617, 300.6616, NaN, 0.950691, 32.96984, 0.416518, 0.412597, 0.410044, 0.937802, 0, 0, 297.3669, 297.5312, NaN 
10:38:34.970 AM 2/13/2018 , 296.3206, 295.5703, 300.8682, NaN, 0.950990, 32.96976, 0.416459, 0.412562, 0.410015, 0.937658, 0, 0, 297.1633, 297.1695, NaN 
10:38:35.971 AM 2/13/2018 , 296.1227, 295.1791, 301.0832, NaN, 0.950908, 32.97059, 0.416453, 0.412553, 0.410007, 0.937715, 0, 0, 296.9609, 296.7975, NaN 
10:38:36.973 AM 2/13/2018 , 295.9269, 294.7889, 301.3035, NaN, 0.950910, 32.97146, 0.416519, 0.412609, 0.410065, 0.937737, 0, 0, 296.7597, 296.4179, NaN 
10:38:37.974 AM 2/13/2018 , 295.7291, 294.4023, 301.5298, NaN, 0.950998, 32.97251, 0.416527, 0.412605, 0.410067, 0.937731, 0, 0, 296.5597, 296.0333, NaN 
10:38:38.976 AM 2/13/2018 , 295.5369, 294.0134, 301.7629, NaN, 0.951080, 32.97534, 0.416523, 0.412606, 0.410065, 0.937756, 0, 0, 296.3609, 295.6457, NaN 
10:38:39.977 AM 2/13/2018 , 295.3408, 293.6141, 302.0012, NaN, 0.950985, 32.97341, 0.416498, 0.412598, 0.410060, 0.937700, 0, 0, 296.1632, 295.2571, NaN 
10:38:40.969 AM 2/13/2018 , 295.1475, 293.2153, 302.2454, NaN, 0.950992, 32.97624, 0.416534, 0.412615, 0.410072, 0.937745, 0, 0, 295.9665, 294.8680, NaN 
10:38:41.970 AM 2/13/2018 , 294.9542, 292.8312, 302.4934, NaN, 0.951468, 32.97725, 0.416545, 0.412625, 0.410077, 0.937749, 0, 0, 295.7706, 294.4775, NaN 
10:38:42.971 AM 2/13/2018 , 294.7618, 292.4636, 302.7467, NaN, 0.951161, 32.97832, 0.416506, 0.412611, 0.410055, 0.937714, 0, 0, 295.5754, 294.0852, NaN 
10:38:43.973 AM 2/13/2018 , 294.5723, 292.1057, 303.0060, NaN, 0.951252, 32.97723, 0.416453, 0.412556, 0.410014, 0.937596, 0, 0, 295.3809, 293.6932, NaN 
10:38:44.974 AM 2/13/2018 , 294.3781, 291.7529, 303.2690, NaN, 0.951079, 32.98006, 0.416493, 0.412584, 0.410047, 0.937651, 0, 0, 295.1871, 293.3054, NaN 
10:38:45.976 AM 2/13/2018 , 294.1879, 291.4097, 303.5364, NaN, 0.951171, 32.97909, 0.416494, 0.412590, 0.410046, 0.937668, 0, 0, 294.9941, 292.9251, NaN 
10:38:46.967 AM 2/13/2018 , 293.9974, 291.0764, 303.8095, NaN, 0.950862, 32.98198, 0.416505, 0.412602, 0.410071, 0.937704, 0, 0, 294.8016, 292.5536, NaN 
10:38:47.969 AM 2/13/2018 , 293.8081, 290.7509, 304.0856, NaN, 0.950207, 32.98099, 0.416537, 0.412616, 0.410089, 0.937798, 0, 0, 294.6095, 292.1911, NaN 
10:38:48.970 AM 2/13/2018 , 293.6189, 290.4324, 304.3666, NaN, 0.950604, 32.98007, 0.416542, 0.412637, 0.410092, 0.937700, 0, 0, 294.4180, 291.8375, NaN 
10:38:49.972 AM 2/13/2018 , 293.4291, 290.1184, 304.6509, NaN, 0.950512, 32.98009, 0.416527, 0.412618, 0.410081, 0.937652, 0, 0, 294.2271, 291.4928, NaN 
10:38:50.983 AM 2/13/2018 , 293.2422, 289.8065, 304.9398, NaN, 0.950421, 32.98394, 0.416529, 0.412632, 0.410086, 0.937660, 0, 0, 294.0366, 291.1565, NaN 
10:38:51.974 AM 2/13/2018 , 293.0538, 289.4951, 305.2334, NaN, 0.950510, 32.98198, 0.416501, 0.412597, 0.410063, 0.937694, 0, 0, 293.8467, 290.8278, NaN 
10:38:52.976 AM 2/13/2018 , 292.8668, 289.1814, 305.5309, NaN, 0.950512, 32.98291, 0.416497, 0.412590, 0.410058, 0.937618, 0, 0, 293.6573, 290.5053, NaN 
10:38:53.977 AM 2/13/2018 , 292.6781, 288.8661, 305.8321, NaN, 0.950518, 32.98294, 0.416503, 0.412609, 0.410061, 0.937629, 0, 0, 293.4684, 290.1872, NaN 
10:38:54.979 AM 2/13/2018 , 292.4918, 288.5476, 306.1357, NaN, 0.950599, 32.98197, 0.416509, 0.412612, 0.410064, 0.937680, 0, 0, 293.2799, 289.8717, NaN 
10:38:55.980 AM 2/13/2018 , 292.3063, 288.2276, 306.4436, NaN, 0.950511, 32.98384, 0.416525, 0.412620, 0.410085, 0.937665, 0, 0, 293.0919, 289.5572, NaN 
10:38:56.982 AM 2/13/2018 , 292.1196, 287.9062, 306.7524, NaN, 0.950434, 32.98396, 0.416482, 0.412586, 0.410044, 0.937698, 0, 0, 292.9043, 289.2423, NaN 
10:38:57.973 AM 2/13/2018 , 291.9341, 287.5848, 307.0634, NaN, 0.950686, 32.98379, 0.416484, 0.412577, 0.410059, 0.937690, 0, 0, 292.7171, 288.9261, NaN 
10:38:58.974 AM 2/13/2018 , 291.7480, 287.2635, 307.3760, NaN, 0.950685, 32.98380, 0.416500, 0.412606, 0.410066, 0.937533, 0, 0, 292.5303, 288.6084, NaN 
10:38:59.986 AM 2/13/2018 , 291.5654, 286.9366, 307.6901, NaN, 0.950600, 32.98380, 0.416499, 0.412607, 0.410061, 0.937552, 0, 0, 292.3438, 288.2894, NaN 
10:39:00.987 AM 2/13/2018 , 291.3769, 286.6004, 308.0066, NaN, 0.950471, 32.98199, 0.416492, 0.412587, 0.410044, 0.937537, 0, 0, 292.1577, 287.9693, NaN 
10:39:01.979 AM 2/13/2018 , 291.1942, 286.2648, 308.3244, NaN, 0.950520, 32.98191, 0.416507, 0.412620, 0.410073, 0.937502, 0, 0, 291.9718, 287.6474, NaN 
10:39:02.980 AM 2/13/2018 , 291.0089, 285.9375, 308.6458, NaN, 0.950603, 32.98467, 0.416488, 0.412582, 0.410055, 0.937545, 0, 0, 291.7862, 287.3226, NaN 
10:39:03.982 AM 2/13/2018 , 290.8237, 285.6210, 308.9674, NaN, 0.950386, 32.98285, 0.416486, 0.412578, 0.410042, 0.937566, 0, 0, 291.6008, 286.9946, NaN 
10:39:04.983 AM 2/13/2018 , 290.6417, 285.3123, 309.2931, NaN, 0.950213, 32.98390, 0.416508, 0.412610, 0.410067, 0.937595, 0, 0, 291.4157, 286.6651, NaN 
10:39:05.985 AM 2/13/2018 , 290.4546, 285.0056, 309.6199, NaN, 0.950206, 32.98368, 0.416505, 0.412610, 0.410061, 0.937606, 0, 0, 291.2307, 286.3372, NaN 
10:39:06.986 AM 2/13/2018 , 290.2718, 284.7005, 309.9481, NaN, 0.950604, 32.98278, 0.416458, 0.412568, 0.410022, 0.937650, 0, 0, 291.0460, 286.0135, NaN 
10:39:07.987 AM 2/13/2018 , 290.0870, 284.3978, 310.2778, NaN, 0.950694, 32.98374, 0.416481, 0.412580, 0.410054, 0.937609, 0, 0, 290.8614, 285.6951, NaN 
10:39:08.989 AM 2/13/2018 , 289.9043, 284.0981, 310.6094, NaN, 0.950597, 32.98185, 0.416479, 0.412580, 0.410031, 0.937652, 0, 0, 290.6770, 285.3815, NaN 
10:39:09.980 AM 2/13/2018 , 289.7229, 283.8018, 310.9426, NaN, 0.950779, 32.98178, 0.416458, 0.412565, 0.410039, 0.937671, 0, 0, 290.4927, 285.0720, NaN 
10:39:10.982 AM 2/13/2018 , 289.5378, 283.5069, 311.2752, NaN, 0.950518, 32.98366, 0.416475, 0.412575, 0.410029, 0.937685, 0, 0, 290.3086, 284.7659, NaN 
10:39:11.983 AM 2/13/2018 , 289.3555, 283.2149, 311.6093, NaN, 0.950696, 32.98271, 0.416476, 0.412577, 0.410030, 0.937667, 0, 0, 290.1249, 284.4628, NaN 
10:39:12.985 AM 2/13/2018 , 289.1719, 282.9257, 311.9441, NaN, 0.950605, 32.98266, 0.416460, 0.412562, 0.410018, 0.937637, 0, 0, 289.9414, 284.1625, NaN 
10:39:13.986 AM 2/13/2018 , 288.9918, 282.6408, 312.2795, NaN, 0.950598, 32.98173, 0.416477, 0.412576, 0.410028, 0.937649, 0, 0, 289.7582, 283.8649, NaN 
10:39:14.988 AM 2/13/2018 , 288.8073, 282.3565, 312.6147, NaN, 0.950694, 32.98169, 0.416485, 0.412563, 0.410030, 0.937757, 0, 0, 289.5751, 283.5700, NaN 
10:39:15.989 AM 2/13/2018 , 288.6280, 282.0719, 312.9519, NaN, 0.950387, 32.98167, 0.416494, 0.412583, 0.410047, 0.937720, 0, 0, 289.3923, 283.2778, NaN 
10:39:16.980 AM 2/13/2018 , 288.4454, 281.7816, 313.2899, NaN, 0.950772, 32.98174, 0.416479, 0.412570, 0.410040, 0.937680, 0, 0, 289.2098, 282.9884, NaN 
10:39:17.982 AM 2/13/2018 , 288.2644, 281.4877, 313.6297, NaN, 0.950687, 32.98357, 0.416443, 0.412539, 0.409997, 0.937687, 0, 0, 289.0276, 282.7007, NaN 
10:39:18.983 AM 2/13/2018 , 288.0857, 281.1960, 313.9696, NaN, 0.950693, 32.98257, 0.416464, 0.412558, 0.410017, 0.937665, 0, 0, 288.8457, 282.4136, NaN 
